order_id,movie_name,director,production_company,importer,distributor,release_date,movie_type,long_short,nationality,nation_screen_count,nation_revenue,num_movie_audience,seoul_revenue,seoul_audience,genre,movie_rating,movie_classification
2181,꽉 물어주는 여자 무삭제,신승엽,(주)영화사가을,,(주)영화사가을,2022-07-18,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2182,꽉 채워줄 남자 있나요？,남근만,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2023-06-23,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2183,꾼들의 삽입 법칙,야신수,(주)이십일세기미디어,,(주)이십일세기미디어,2022-02-04,개봉영화,장편,한국,1,"5,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2184,꿀바디 마나미의 섹스치료,아베 신야,,,(주)영진크리에이티브,2022-06-18,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2185,끈적한 마사지가 좋아,K-타로,,,(주)영진크리에이티브,2022-09-13,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2186,끊을 수 없는 새엄마의 맛,키무라 히로유키,,,(주)영진크리에이티브,2023-04-24,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2187,끝까지 채워주는 과부 노예,,,,(주)픽쳐레스크,2022-06-22,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2188,끝내주는 명기 여상사,아사기리 키요시,,,(주)코빈커뮤니케이션즈,2021-11-08,개봉영화,장편,일본,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
2189,끼부리는 여선배:나랑 하고싶은거죠?,코엔지 고로,,,(주)영진크리에이티브,2022-08-17,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2190,나는 시아버지의 아내가 되기로 결심했다,나가에,,,(주)영진크리에이티브,2023-08-04,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2191,나는 에로배우다,알렉사 박,타히티 필름,,케이엘 픽쳐스,2022-03-10,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2192,나는 펫 : 다 벗을게요,사쿠라비토,,,(주)영진크리에이티브,2023-01-25,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2193,나라의 섹시한 유혹,이로운,(주)영화사히트,,(주)영화사히트,2021-11-26,개봉영화,장편,한국,1,"1,000",1,0,0,드라마,청소년관람불가,일반영화
2194,나락 간 중독된 불륜,,,,(주)씨맥스커뮤니케이션즈,2022-11-24,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2195,나만 찾는 우리 형부,김덕,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2023-06-16,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2196,나만의 시크릿 절정,,,,(주)픽쳐레스크,2022-07-21,개봉영화,장편,캐나다,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2197,나만의 완벽한 섹스토이,윤신,(주)픽쳐레스크,,(주)픽쳐레스크,2022-05-23,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2198,나쁜 섹스:제수씨의 다리사이,사쿠라비토,,,(주)영진크리에이티브,2022-05-21,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2199,나쁜 처제 3,한대위,(주)영화사가을,,(주)영화사가을,2021-11-14,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2200,나쁜 처제 3 무삭제,한대위,(주)영화사가을,,(주)영화사가을,2022-03-24,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2201,나쁜섹스 : 형부가 덮친 날,,,,(주)영화사 사계절,2022-11-26,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2202,나쁜섹스:물터진 제수씨,나가에 타카미,,,(주)영진크리에이티브,2022-05-19,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2203,나에겐 로맨스,선우용,영화사 산들바람,,영화사 산들바람,2023-03-09,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2204,나의 펫:대물 키우는 색녀,아베 신야,,,(주)영진크리에이티브,2022-05-21,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2205,나의 펫:커다란게 좋아,아베 신야,,,(주)영진크리에이티브,2022-06-19,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2206,날 누른 남편상사,토미죠 타로,,,(주)픽쳐레스크,2023-05-17,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2207,날 채운 욕정 해결사,사다오카 사다오,,,에스팀,2022-08-17,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2208,날마다 씨받는 새엄마,츠지 코지,,,(주)영진크리에이티브,2023-06-23,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2209,남사친과유부녀의정사,천성준,에이원 미디어,,에이원 미디어,2023-02-03,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2210,남의 여자,전성기,주식회사 바나나픽쳐스,,주식회사 바나나픽쳐스,2022-05-06,개봉영화,장편,한국,1,"5,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2211,남의 여자를 탐하는 대물,카리노나 마이,,,주식회사 미콘,2022-09-27,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2212,남자껀 필요없어,최정자,폭풍의 눈,,주식회사 플릭스코,2023-01-19,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2213,남자의 로망 : 2대1,이승규,(주)영화사가을,,(주)영화사가을,2022-10-17,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2214,남자의 로망 : 2대1 무삭제,이승규,(주)영화사가을,,(주)영화사가을,2023-05-26,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2215,남자전용 미용실,,주식회사 루믹스미디어,,주식회사 루믹스미디어,2023-09-20,개봉영화,장편,한국,1,"1,000",1,0,0,,청소년관람불가,일반영화
2216,남친 몰래 메이드 알바 주인님 원하시는 대로,토리피,,,(주)영진크리에이티브,2023-08-03,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2217,남친 몰래 세워주는 여자들,나베,,,(주)영진크리에이티브,2022-09-12,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2218,남친이 군대 간 사이,,주식회사 루믹스미디어,,주식회사 루믹스미디어,2023-09-26,개봉영화,장편,한국,1,"1,000",1,0,0,,청소년관람불가,일반영화
2219,남편 대신 만족시켜준 동창생의 대물,사쿠라비토,,,(주)영진크리에이티브,2023-06-24,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2220,남편 몰래 벌려주는 유부녀의 젖은 속살,,,,(주)코빈커뮤니케이션즈,2023-07-25,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2221,남편 몰래 섹스 파티,나가에 타카미,,,(주)영진크리에이티브,2021-10-26,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2222,남편 몰래 수컷 냄새 맡으러 가요,,,,(주)영진크리에이티브,2023-08-10,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2223,남편 몰래 질척이는 새엄마,사르지,,,(주)영진크리에이티브,2022-03-24,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2224,남편 상사의 거친 맛,나가에 타카미,,,(주)영진크리에이티브,2022-09-13,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2225,남편 앞에서 다른 남자에게 벌린 가랑이,,,,(주)코빈커뮤니케이션즈,2023-04-04,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2226,남편 앞에서 옆집남자 씨받는 아내,토미죠 타로,,,(주)영진크리에이티브,2023-07-05,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2227,남편 없어요 : 임신 시켜주세요,디렉터 O,,,(주)영진크리에이티브,2023-07-31,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2228,남편 옆에서 옆집남자 올라탄 썰,우치야마 카즈오,,,(주)영진크리에이티브,2023-09-18,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2229,남편 직장 상사 : 다 벗으면 되잖아요,나가에,,,(주)영진크리에이티브,2022-11-28,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2230,남편 출장 간 사이 범해지는 아내,디렉터 O,,,(주)영진크리에이티브,2023-07-31,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2231,"남편과 다른 삽입감, 쫀쫀한 불륜 유부녀",드래곤 니시카와,,,(주)코빈커뮤니케이션즈,2023-07-04,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2232,남편대신 뚫어준 배관공:시원하게 뚫어드려요,토미죠 타로,,,(주)영진크리에이티브,2023-09-15,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2233,남편대신 옆집남자,디렉터 O,,,(주)영진크리에이티브,2023-01-14,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2234,남편보다 남편 손님,칸바라 나오토,,,에스팀,2022-11-16,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2235,남편보다 남편 손님 무삭제판,칸바라 나오토,,,에스팀,2023-08-23,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2236,남편보다 남편같은 친구 무삭제판,시즈카만,,,(주)라온컴퍼니플러스,2022-07-27,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2237,남편보다 딱딱한 시아버지,,,,(주)코빈커뮤니케이션즈,2022-01-17,개봉영화,장편,일본,1,"5,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2238,남편보다 힘쎈 택배기사 무삭제,김환,(주)영화사가을,,(주)영화사가을,2022-02-15,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2239,남편보다 힘좋은 시아버지,코지마 유키오,,,(주)도키엔터테인먼트,2022-11-25,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2240,남편의 죄를 몸으로 때우는 아내,,,,(주)영화사 사계절,2023-03-20,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2241,남편이 보고 있어요 : 젖은 하루,이시다 마모루,,,(주)영진크리에이티브,2023-02-24,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2242,낮엔 처형이랑 밤엔 여친이랑:한 이불 두 여자,,,,(주)영진크리에이티브,2023-09-27,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2243,내 남편은 정자왕:1일 3발 쌉가능,디렉터 O,,,(주)영진크리에이티브,2023-09-18,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2244,내 남편을 치료해주세요,리차드 킴,영화사 산들바람,,영화사 산들바람,2023-07-14,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2245,내 맘대로 맛본 누나,진석구,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2023-07-06,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2246,내 물건을 사랑했던 형수님,박준이,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2023-06-22,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2247,내 바지 내리는 옆집여자,디렉터 O,,,(주)영진크리에이티브,2022-11-07,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2248,내 사장의 아내,유만종,P&미디어,,P&미디어,2022-08-18,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2249,내 손길에 녹아버린 새엄마,우미야마 테루카즈,,,(주)영진크리에이티브,2022-10-08,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2250,내 아내가 다른 남자와 한다,사쿠라비토,,,(주)영진크리에이티브,2021-10-08,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2251,내 아내를 임신시켜줘,한동연,폭풍의 눈,,주식회사 플릭스코,2023-05-18,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2252,내 아내에게 풍기는 옆집 밤꽃냄새,우치야마 카즈오,,,(주)영진크리에이티브,2023-07-06,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
